,star_name.1,distance.1,mass.1,radius.1
0,2004.0,,,
1,,,,
2,,,,
3,2002.0,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,2000.0,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,2013.0,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,1997.0,,,
24,1997.0,,,
25,1997.0,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,2002.0,,,
31,,,,
32,,,,
33,2003.0,,,
34,,,,
35,,,,
36,2006.0,,,
37,2008.0,,,
38,,,,
39,,,,
40,,,,
41,2003.0,,,
42,2000.0,,,
43,,,,
44,,,,
45,1997.0,,,
46,1995.0,,,
47,,,,
48,2006.0,,,
49,,,,
50,2002.0,,,
51,2002.0,,,
52,2003.0,,,
53,,,,
54,,,,
55,2003.0,,,
56,2010.0,,,
57,,,,
58,2003.0,,,
59,2003.0,,,
60,2008.0,,,
61,2008.0,,,
62,2003.0,,,
63,,,,
64,2018.0,,,
65,,,,
66,2000.0,,,
67,2003.0,,,
68,,,,
69,2014.0,,,
70,2014.0,,,
71,2008.0,,,
72,2008.0,,,
73,2008.0,,,
74,2003.0,,,
75,,,,
76,2010.0,,,
77,2002.0,,,
78,2007.0,,,
79,2004.0,,,
80,1999.0,,,
81,2008.0,,,
82,,,,
83,2010.0,,,
84,2006.0,,,
85,2006.0,,,
86,2000.0,,,
87,2002.0,,,
88,,,,
89,2004.0,,,
90,2003.0,,,
91,2003.0,,,
92,,,,
93,2003.0,,,
94,2000.0,,,
95,2002.0,,,
96,2005.0,,,
97,2005.0,,,
98,,,,
99,2003.0,,,
100,2003.0,,,
101,,,,
102,2008.0,,,
103,2002.0,,,
104,1999.0,,,
105,2000.0,,,
106,2013.0,,,
107,2013.0,,,
108,1997.0,,,
109,,,,
110,2005.0,,,
111,2005.0,,,
112,,,,
113,2005.0,,,
114,,,,
115,,,,
116,2003.0,,,
117,2002.0,,,
118,,,,
119,,,,
120,,,,
121,1999.0,,,
122,,,,
123,1999.0,,,
124,2003.0,,,
125,2000.0,,,
126,,,,
127,2000.0,,,
128,1997.0,,,
129,1997.0,,,
130,,,,
131,2000.0,,,
132,2000.0,,,
133,,,,
134,,,,
135,2006.0,,,
136,2004.0,,,
137,,,,
138,,,,
139,,,,
140,2003.0,,,
141,2010.0,,,
142,2010.0,,,
143,,,,
144,2003.0,,,
145,,,,
146,2000.0,,,
147,2000.0,,,
148,,,,
149,2006.0,,,
150,2003.0,,,
151,2000.0,,,
152,2004.0,,,
153,2002.0,,,
154,2003.0,,,
155,2002.0,,,
156,2007.0,,,
157,1999.0,,,
158,2004.0,,,
159,1999.0,,,
160,,,,
161,2000.0,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,2003.0,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,2013.0,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,2013.0,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,2010.0,,,
190,2010.0,,,
191,2010.0,,,
192,2010.0,,,
193,2010.0,,,
194,2010.0,,,
195,2010.0,,,
196,2010.0,,,
197,2010.0,,,
198,2010.0,,,
199,2010.0,,,
200,2010.0,,,
201,2010.0,,,
202,2010.0,,,
203,2010.0,,,
204,2010.0,,,
205,2010.0,,,
206,2010.0,,,
207,2010.0,,,
208,2010.0,,,
209,2010.0,,,
210,2010.0,,,
211,2010.0,,,
212,2010.0,,,
213,2010.0,,,
214,2010.0,,,
215,2010.0,,,
216,2010.0,,,
217,2010.0,,,
218,2010.0,,,
219,2010.0,,,
220,2010.0,,,
221,2010.0,,,
222,2010.0,,,
223,2010.0,,,
224,2010.0,,,
225,2010.0,,,
226,2010.0,,,
227,2010.0,,,
228,2010.0,,,
229,2010.0,,,
230,2010.0,,,
231,2010.0,,,
232,2010.0,,,
233,2010.0,,,
234,2010.0,,,
235,2010.0,,,
236,2010.0,,,
237,2010.0,,,
238,2010.0,,,
239,2010.0,,,
240,2010.0,,,
241,2010.0,,,
242,2010.0,,,
243,2010.0,,,
244,2010.0,,,
245,2010.0,,,
246,2010.0,,,
247,2010.0,,,
248,2010.0,,,
249,2010.0,,,
250,2010.0,,,
251,2010.0,,,
252,2010.0,,,
253,2010.0,,,
254,2010.0,,,
255,2010.0,,,
256,2010.0,,,
257,2010.0,,,
258,2010.0,,,
259,2010.0,,,
260,2010.0,,,
261,2010.0,,,
262,2010.0,,,
263,2010.0,,,
264,2010.0,,,
265,2010.0,,,
266,2010.0,,,
267,2010.0,,,
268,2010.0,,,
269,2010.0,,,
270,2010.0,,,
271,2010.0,,,
272,2010.0,,,
273,2010.0,,,
274,2010.0,,,
275,2010.0,,,
276,2010.0,,,
277,2010.0,,,
278,2010.0,,,
279,2010.0,,,
280,2010.0,,,
281,2010.0,,,
282,2010.0,,,
283,2010.0,,,
284,2010.0,,,
285,2010.0,,,
286,2010.0,,,
287,2010.0,,,
288,2010.0,,,
289,2010.0,,,
290,2010.0,,,
291,2010.0,,,
292,2010.0,,,
293,2010.0,,,
294,2010.0,,,
295,2010.0,,,
296,2010.0,,,
297,2010.0,,,
298,2010.0,,,
299,2010.0,,,
300,2010.0,,,
301,2010.0,,,
302,2010.0,,,
303,2010.0,,,
304,2010.0,,,
305,2010.0,,,
306,2010.0,,,
307,2010.0,,,
308,2010.0,,,
309,2010.0,,,
310,2010.0,,,
311,2010.0,,,
312,2010.0,,,
313,2010.0,,,
314,2010.0,,,
315,2010.0,,,
316,2010.0,,,
317,2010.0,,,
318,2010.0,,,
319,2010.0,,,
320,2010.0,,,
321,2010.0,,,
322,2010.0,,,
323,2010.0,,,
324,2010.0,,,
325,2010.0,,,
326,2010.0,,,
327,2010.0,,,
328,2010.0,,,
329,2010.0,,,
330,2010.0,,,
331,2010.0,,,
332,2010.0,,,
333,2010.0,,,
334,2010.0,,,
335,2010.0,,,
336,2010.0,,,
337,2010.0,,,
338,2010.0,,,
339,2010.0,,,
340,2010.0,,,
341,2010.0,,,
342,2010.0,,,
343,2010.0,,,
344,2010.0,,,
345,2010.0,,,
346,2010.0,,,
347,2010.0,,,
348,2010.0,,,
349,2010.0,,,
350,2010.0,,,
351,2017.0,,,
352,2002.0,,,
353,2002.0,,,
354,2002.0,,,
355,2002.0,,,
356,2002.0,,,
357,2002.0,,,
358,2002.0,,,
359,2002.0,,,
360,2002.0,,,
361,2002.0,,,
362,2002.0,,,
363,2002.0,,,
364,2002.0,,,
365,2002.0,,,
366,2002.0,,,
367,2002.0,,,
368,2002.0,,,
369,2002.0,,,
370,2002.0,,,
371,2002.0,,,
372,2002.0,,,
373,2002.0,,,
374,2002.0,,,
375,2002.0,,,
376,2002.0,,,
377,2002.0,,,
378,2002.0,,,
379,2002.0,,,
380,2002.0,,,
381,2002.0,,,
382,2002.0,,,
383,2002.0,,,
384,2002.0,,,
385,2002.0,,,
386,2002.0,,,
387,2002.0,,,
388,2002.0,,,
389,2002.0,,,
390,2002.0,,,
391,2002.0,,,
392,2002.0,,,
393,2002.0,,,
394,2002.0,,,
395,2002.0,,,
396,2002.0,,,
397,2002.0,,,
398,2002.0,,,
399,2002.0,,,
400,2002.0,,,
401,2002.0,,,
402,2002.0,,,
403,2002.0,,,
404,2002.0,,,
405,2002.0,,,
406,2002.0,,,
407,2002.0,,,
408,2002.0,,,
409,2002.0,,,
410,2002.0,,,
411,2002.0,,,
412,2002.0,,,
413,2002.0,,,
414,2002.0,,,
415,2002.0,,,
416,2002.0,,,
417,2002.0,,,
418,2002.0,,,
419,2002.0,,,
420,2002.0,,,
421,2002.0,,,
422,2002.0,,,
423,2002.0,,,
424,2002.0,,,
425,2002.0,,,
426,2002.0,,,
427,2002.0,,,
428,2002.0,,,
429,2002.0,,,
430,2002.0,,,
431,2002.0,,,
432,2002.0,,,
433,2002.0,,,
434,2002.0,,,
435,2002.0,,,
436,2002.0,,,
437,2002.0,,,
438,2002.0,,,
439,2002.0,,,
440,2002.0,,,
441,2002.0,,,
442,2002.0,,,
443,2002.0,,,
444,2002.0,,,
445,2002.0,,,
446,2002.0,,,
447,2002.0,,,
448,2002.0,,,
449,2002.0,,,
450,,,,
451,2004.0,,,
452,,,,
453,,,,
454,2002.0,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,2000.0,,,
463,,,,
464,,,,
465,,,,
466,,,,
467,,,,
468,2013.0,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,1997.0,,,
475,1997.0,,,
476,1997.0,,,
477,,,,
478,,,,
479,,,,
480,,,,
481,2002.0,,,
482,,,,
483,,,,
484,2003.0,,,
485,,,,
486,,,,
487,2006.0,,,
488,2008.0,,,
489,,,,
490,,,,
491,,,,
492,2003.0,,,
493,2000.0,,,
494,,,,
495,,,,
496,1997.0,,,
497,1995.0,,,
498,,,,
499,2006.0,,,
500,,,,
501,2002.0,,,
502,2002.0,,,
503,2003.0,,,
504,,,,
505,,,,
506,2003.0,,,
507,2010.0,,,
508,,,,
509,2003.0,,,
510,2003.0,,,
511,2008.0,,,
512,2008.0,,,
513,2003.0,,,
514,,,,
515,2018.0,,,
516,,,,
517,2000.0,,,
518,2003.0,,,
519,,,,
520,2014.0,,,
521,2014.0,,,
522,2008.0,,,
523,2008.0,,,
524,2008.0,,,
525,2003.0,,,
526,,,,
527,2010.0,,,
528,2002.0,,,
529,2007.0,,,
530,2004.0,,,
531,1999.0,,,
532,2008.0,,,
533,,,,
534,2010.0,,,
535,2006.0,,,
536,2006.0,,,
537,2000.0,,,
538,2002.0,,,
539,,,,
540,2004.0,,,
541,2003.0,,,
542,2003.0,,,
543,,,,
544,2003.0,,,
545,2000.0,,,
546,2002.0,,,
547,2005.0,,,
548,2005.0,,,
549,,,,
550,2003.0,,,
551,2003.0,,,
552,,,,
553,2008.0,,,
